numColumn,threshold,numRecord,seed,time
1024,10000,2097152,1557,216909
1024,10000,2097152,29809,239850
1024,10000,2097152,31961,231900
1024,10000,4194304,27616,427924
1024,10000,4194304,20064,426510
1024,10000,4194304,19443,407076
1024,10000,4194304,22000,405396
1024,10000,4194304,6667,402362
1024,10000,4194304,10484,396546
1024,10000,4194304,9784,388653
1024,10000,4194304,15714,414188
1024,10000,4194304,25652,400266
1024,10000,4194304,7992,408916
1024,10000,4194304,17011,403402
1024,10000,4194304,29666,384188
1024,10000,4194304,1634,405892
1024,10000,4194304,12774,412083
1024,10000,4194304,16387,397725
1024,10000,4194304,30372,391912
1024,10000,4194304,14088,393850
1024,10000,4194304,29557,399018
1024,10000,4194304,1557,391889
1024,10000,4194304,29809,410492
1024,10000,4194304,31961,398671
1024,10000,8388608,27616,662774
1024,10000,8388608,20064,664019
1024,10000,8388608,19443,673175
1024,10000,8388608,22000,680845
1024,10000,8388608,6667,667234
1024,10000,8388608,10484,654007
1024,10000,8388608,9784,650298
1024,10000,8388608,15714,666081
1024,10000,8388608,25652,674508
1024,10000,8388608,7992,679397
1024,10000,8388608,17011,668916
1024,10000,8388608,29666,642801
1024,10000,8388608,1634,670427
1024,10000,8388608,12774,694469
1024,10000,8388608,16387,666052
1024,10000,8388608,30372,659318
1024,10000,8388608,14088,627663
1024,10000,8388608,29557,642507
1024,10000,8388608,1557,649969
1024,10000,8388608,29809,673197
1024,10000,8388608,31961,692090
