numColumn,threshold,factor,seed,auc
1024,1000,0.999,20262,0.853979
1024,1000,0.999,11573,0.853959
1024,1000,0.999,4978,0.853956
1024,1000,0.999,6576,0.910506
1024,1000,0.999,28037,0.910501
1024,1000,0.999,18953,0.853956
1024,1000,0.999,18789,0.901645
1024,1000,0.999,30151,0.853956
1024,1000,0.9992,21015,0.763688
1024,1000,0.9992,18942,0.763677
1024,1000,0.9992,10041,0.763678
1024,1000,0.9992,20262,0.763688
1024,1000,0.9992,11573,0.763677
1024,1000,0.9992,4978,0.763673
1024,1000,0.9992,6576,0.905470
1024,1000,0.9992,28037,0.905460
1024,1000,0.9992,18953,0.763673
1024,1000,0.9992,18789,0.896387
1024,1000,0.9992,30151,0.763673
1024,1000,0.9994,21015,0.759029
1024,1000,0.9994,18942,0.759026
1024,1000,0.9994,10041,0.759027
1024,1000,0.9994,20262,0.759029
1024,1000,0.9994,11573,0.759026
1024,1000,0.9994,4978,0.759057
1024,1000,0.9994,6576,0.898163
1024,1000,0.9994,28037,0.898225
1024,1000,0.9994,18953,0.759057
1024,1000,0.9994,18789,0.890286
1024,1000,0.9994,30151,0.759057
1024,1000,0.9996,21015,0.756520
1024,1000,0.9996,18942,0.756476
1024,1000,0.9996,10041,0.756478
1024,1000,0.9996,20262,0.756520
1024,1000,0.9996,11573,0.756476
1024,1000,0.9996,4978,0.756530
1024,1000,0.9996,6576,0.891726
1024,1000,0.9996,28037,0.891818
1024,1000,0.9996,18953,0.756530
1024,1000,0.9996,18789,0.879559
1024,1000,0.9996,30151,0.756530
1024,1000,0.9998,21015,0.743336
1024,1000,0.9998,18942,0.743261
1024,1000,0.9998,10041,0.743263
1024,1000,0.9998,20262,0.743336
1024,1000,0.9998,11573,0.743261
1024,1000,0.9998,4978,0.743257
1024,1000,0.9998,6576,0.878205
1024,1000,0.9998,28037,0.878183
1024,1000,0.9998,18953,0.743257
1024,1000,0.9998,18789,0.860976
1024,1000,0.9998,30151,0.743257
1024,1000,1,21015,0.705412
1024,1000,1,18942,0.705576
1024,1000,1,10041,0.705578
1024,1000,1,20262,0.705412
1024,1000,1,11573,0.705576
1024,1000,1,4978,0.705568
1024,1000,1,6576,0.797046
1024,1000,1,28037,0.796941
1024,1000,1,18953,0.705568
1024,1000,1,18789,0.771077
1024,1000,1,30151,0.705568
