numColumn,threshold,factor,seed,auc
1024,100000,0.99,12926,0.995804
1024,100000,0.992,14160,0.995214
1024,100000,0.992,2421,0.995178
1024,100000,0.992,32505,0.995215
1024,100000,0.992,6855,0.995178
1024,100000,0.992,20929,0.995215
1024,100000,0.992,20308,0.995215
1024,100000,0.992,27141,0.995178
1024,100000,0.992,12003,0.995215
1024,100000,0.992,29669,0.992600
1024,100000,0.992,12991,0.992600
1024,100000,0.992,12926,0.995178
1024,100000,0.994,14160,0.994983
1024,100000,0.994,2421,0.994944
1024,100000,0.994,32505,0.994985
1024,100000,0.994,6855,0.994944
1024,100000,0.994,20929,0.994985
1024,100000,0.994,20308,0.994985
1024,100000,0.994,27141,0.994944
1024,100000,0.994,12003,0.994985
1024,100000,0.994,29669,0.991719
1024,100000,0.994,12991,0.991719
1024,100000,0.994,12926,0.994944
1024,100000,0.996,14160,0.994563
1024,100000,0.996,2421,0.994520
1024,100000,0.996,32505,0.994564
1024,100000,0.996,6855,0.994520
1024,100000,0.996,20929,0.994564
1024,100000,0.996,20308,0.994564
1024,100000,0.996,27141,0.994520
1024,100000,0.996,12003,0.994564
1024,100000,0.996,29669,0.990371
1024,100000,0.996,12991,0.990371
1024,100000,0.996,12926,0.994520
1024,100000,0.998,14160,0.992341
1024,100000,0.998,2421,0.992286
1024,100000,0.998,32505,0.992341
1024,100000,0.998,6855,0.992286
1024,100000,0.998,20929,0.992341
1024,100000,0.998,20308,0.992341
1024,100000,0.998,27141,0.992286
1024,100000,0.998,12003,0.992341
1024,100000,0.998,29669,0.987972
1024,100000,0.998,12991,0.987972
1024,100000,0.998,12926,0.992286
1024,100000,0.999,14160,0.977134
1024,100000,0.999,2421,0.977069
1024,100000,0.999,32505,0.977134
1024,100000,0.999,6855,0.977069
1024,100000,0.999,20929,0.977134
1024,100000,0.999,20308,0.977134
1024,100000,0.999,27141,0.977069
1024,100000,0.999,12003,0.977134
1024,100000,0.999,29669,0.953458
1024,100000,0.999,12991,0.953458
1024,100000,0.999,12926,0.977069
1024,100000,0.9992,14160,0.971780
1024,100000,0.9992,2421,0.971362
1024,100000,0.9992,32505,0.971780
1024,100000,0.9992,6855,0.971362
1024,100000,0.9992,20929,0.971780
1024,100000,0.9992,20308,0.971780
1024,100000,0.9992,27141,0.971362
1024,100000,0.9992,12003,0.971780
1024,100000,0.9992,29669,0.946751
1024,100000,0.9992,12991,0.946751
1024,100000,0.9992,12926,0.971362
1024,100000,0.9994,14160,0.966509
1024,100000,0.9994,2421,0.966037
1024,100000,0.9994,32505,0.966510
1024,100000,0.9994,6855,0.966037
1024,100000,0.9994,20929,0.966510
1024,100000,0.9994,20308,0.966510
1024,100000,0.9994,27141,0.966037
1024,100000,0.9994,12003,0.966510
1024,100000,0.9994,29669,0.936726
1024,100000,0.9994,12991,0.936726
1024,100000,0.9994,12926,0.966037
1024,100000,0.9996,14160,0.957017
1024,100000,0.9996,2421,0.956472
1024,100000,0.9996,32505,0.957017
1024,100000,0.9996,6855,0.956472
1024,100000,0.9996,20929,0.957017
1024,100000,0.9996,20308,0.957017
1024,100000,0.9996,27141,0.956472
1024,100000,0.9996,12003,0.957017
1024,100000,0.9996,29669,0.918164
1024,100000,0.9996,12991,0.918164
1024,100000,0.9996,12926,0.956472
1024,100000,0.9998,14160,0.936794
1024,100000,0.9998,2421,0.936080
1024,100000,0.9998,32505,0.936794
1024,100000,0.9998,6855,0.936080
1024,100000,0.9998,20929,0.936794
1024,100000,0.9998,20308,0.936794
1024,100000,0.9998,27141,0.936080
1024,100000,0.9998,12003,0.936794
1024,100000,0.9998,29669,0.885672
1024,100000,0.9998,12991,0.885672
1024,100000,0.9998,12926,0.936080
1024,100000,1,14160,0.879498
1024,100000,1,2421,0.878426
1024,100000,1,32505,0.879499
1024,100000,1,6855,0.878426
1024,100000,1,20929,0.879499
1024,100000,1,20308,0.879499
1024,100000,1,27141,0.878426
1024,100000,1,12003,0.879499
1024,100000,1,29669,0.805862
1024,100000,1,12991,0.805862
1024,100000,1,12926,0.878426
