numColumn,threshold,seed,time
1400,100000,32441,492621
1400,100000,18512,479199
1400,100000,17317,454793
1400,100000,1928,527991
1400,100000,8105,509145
1400,100000,23451,426862
1400,100000,19375,482774
1400,100000,15591,435185
1400,100000,23892,447998
1600,100000,1144,562282
1600,100000,8893,452648
1600,100000,31903,558803
1600,100000,25106,457679
1600,100000,25824,554279
1600,100000,23985,482870
1600,100000,24446,518225
1600,100000,1421,467686
1600,100000,113,443515
1600,100000,14914,463629
1600,100000,30788,472329
1600,100000,31500,458945
1600,100000,32441,520412
1600,100000,18512,489035
1600,100000,17317,461020
1600,100000,1928,558597
1600,100000,8105,559744
1600,100000,23451,468405
1600,100000,19375,517591
1600,100000,15591,452656
1600,100000,23892,479408
1800,100000,1144,598521
1800,100000,8893,468298
1800,100000,31903,605123
1800,100000,25106,497507
1800,100000,25824,599748
1800,100000,23985,528684
1800,100000,24446,568667
1800,100000,1421,506037
1800,100000,113,472130
1800,100000,14914,503198
1800,100000,30788,503216
1800,100000,31500,494195
1800,100000,32441,551244
1800,100000,18512,526833
1800,100000,17317,491272
1800,100000,1928,605082
1800,100000,8105,597492
1800,100000,23451,489805
1800,100000,19375,545894
1800,100000,15591,495158
1800,100000,23892,519122
2000,100000,1144,639596
2000,100000,8893,499392
2000,100000,31903,641911
2000,100000,25106,540000
2000,100000,25824,639624
2000,100000,23985,556051
2000,100000,24446,592575
2000,100000,1421,534451
2000,100000,113,505333
2000,100000,14914,526262
2000,100000,30788,536703
2000,100000,31500,519195
2000,100000,32441,598152
2000,100000,18512,564941
2000,100000,17317,535740
2000,100000,1928,642598
2000,100000,8105,646970
2000,100000,23451,534231
2000,100000,19375,591187
2000,100000,15591,526846
2000,100000,23892,556729
2200,100000,1144,692118
2200,100000,8893,525980
2200,100000,31903,703145
2200,100000,25106,653907
2200,100000,25824,778886
2200,100000,23985,592707
2200,100000,24446,634114
2200,100000,1421,587813
2200,100000,113,547812
2200,100000,14914,579192
2200,100000,30788,587236
2200,100000,31500,567047
2200,100000,32441,631054
2200,100000,18512,599037
2200,100000,17317,566231
2200,100000,1928,697613
2200,100000,8105,697888
2200,100000,23451,560710
2200,100000,19375,638766
2200,100000,15591,602656
2200,100000,23892,594785
2400,100000,1144,731693
2400,100000,8893,553658
2400,100000,31903,737094
2400,100000,25106,609618
2400,100000,25824,737109
2400,100000,23985,639271
2400,100000,24446,670144
2400,100000,1421,632835
2400,100000,113,577423
2400,100000,14914,599597
2400,100000,30788,607322
2400,100000,31500,604806
2400,100000,32441,678743
2400,100000,18512,646872
2400,100000,17317,611396
2400,100000,1928,742113
2400,100000,8105,736875
2400,100000,23451,595490
2400,100000,19375,686981
2400,100000,15591,596095
2400,100000,23892,637314
2600,100000,1144,792936
2600,100000,8893,593556
2600,100000,31903,786646
2600,100000,25106,643727
2600,100000,25824,791900
2600,100000,23985,675842
2600,100000,24446,714966
2600,100000,1421,652735
2600,100000,113,597742
2600,100000,14914,625849
2600,100000,30788,635973
2600,100000,31500,645981
2600,100000,32441,731658
2600,100000,18512,692501
2600,100000,17317,655544
2600,100000,1928,789441
2600,100000,8105,827935
2600,100000,23451,645726
2600,100000,19375,716718
2600,100000,15591,657059
2600,100000,23892,680793
2800,100000,1144,843678
2800,100000,8893,625171
2800,100000,31903,897368
2800,100000,25106,775301
2800,100000,25824,866420
2800,100000,23985,741082
2800,100000,24446,764153
2800,100000,1421,707192
2800,100000,113,650274
2800,100000,14914,677096
2800,100000,30788,687087
2800,100000,31500,696642
2800,100000,32441,772692
2800,100000,18512,755893
2800,100000,17317,705549
2800,100000,1928,847984
2800,100000,8105,865924
2800,100000,23451,699170
2800,100000,19375,828142
2800,100000,15591,768864
2800,100000,23892,779598
3000,100000,1144,950040
3000,100000,8893,699683
3000,100000,31903,955346
3000,100000,25106,787799
3000,100000,25824,943313
3000,100000,23985,777560
3000,100000,24446,820687
3000,100000,1421,742455
3000,100000,113,677811
3000,100000,14914,735195
3000,100000,30788,752472
3000,100000,31500,762879
3000,100000,32441,834167
3000,100000,18512,805785
3000,100000,17317,743366
3000,100000,1928,908002
3000,100000,8105,931165
3000,100000,23451,710506
3000,100000,19375,824980
3000,100000,15591,755531
3000,100000,23892,782945
